X,Y,id,left_fm,right_fm,min_offset,strat_offset
631858.9128431601,7462415.645281846,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
632152.293048035,7462376.125330919,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
632903.243154105,7462148.94494673,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
634018.0392629451,7461800.89473445,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
635022.170505895,7461534.913826564,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
636004.735503495,7461309.413713865,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
636708.5342638199,7461136.51978224,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
637195.083806125,7461046.76994498,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
637554.090191265,7460981.270972559,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
638205.385102265,7460856.7707904205,Fault_6825,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
