X,Y,Z,azimuth,dip,polarity,formation
601121.388393,7448157.43624909,528.0,160.0,20,1,Bunjinah_Formation
606947.91066648,7444582.79206365,495.0,150.0,30,1,Jeerinah_Formation
624281.24725261,7430784.92970134,507.0,358.0,47,1,Beasley_River_Quartzite
627987.64006893,7480709.79896892,760.0,425.0,20,1,Jeerinah_Formation
539933.7822252,7483374.35640366,469.0,385.0,60,1,Hardey_Formation
574988.0622044001,7432789.34459253,445.0,360.0,15,1,Bunjinah_Formation
628936.0899091999,7482494.387067599,757.0,110.0,30,1,Jeerinah_Formation
632936.82754077,7421329.909427701,526.0,327.0,31,1,Boolgeeda_Iron_Formation
570962.87966732,7446241.53498865,455.0,380.0,25,1,Hardey_Formation
573890.45046402,7481661.52767635,696.0,385.0,12,1,Brockman_Iron_Formation
589403.25927445,7445708.92684407,496.0,140.0,15,1,Pyradie_Formation
576339.0744051,7490905.49448256,734.0,400.0,35,1,Brockman_Iron_Formation
578424.93533865,7470531.55668519,702.0,260.0,42,1,Jeerinah_Formation
582705.39191727,7453826.74771014,570.0,310.0,20,1,Bunjinah_Formation
521993.39933415,7508834.9892679,548.0,171.0,60,1,Weeli_Wolli_Formation
565975.78547526,7486034.19862076,618.0,365.0,42,1,Boolgeeda_Iron_Formation
571965.82833137,7422756.19010211,421.0,210.0,65,1,Mount_McGrath_Formation
514363.57682758,7462660.37621304,363.0,350.0,28,1,Boolgeeda_Iron_Formation
542660.06207832,7481786.83007108,473.0,388.0,60,1,Hardey_Formation
530058.68229413,7464016.56701922,478.0,380.0,30,1,Jeerinah_Formation
638910.69920282,7422327.03536403,543.0,370.0,27,1,Boolgeeda_Iron_Formation
553113.25097797,7484612.18583151,549.0,240.0,64,1,Marra_Mamba_Iron_Formation
513054.14181049995,7462424.6711711,355.0,250.0,20,1,Woongarra_Rhyolite
619940.67451297,7481812.90985963,684.0,330.0,35,1,Hardey_Formation
584294.20944899,7469645.30061938,666.0,300.0,12,1,Pyradie_Formation
613804.54538018,7431833.25068286,464.0,387.0,16,1,Beasley_River_Quartzite
632268.30534165,7424573.70921926,537.0,320.0,28,1,Beasley_River_Quartzite
606497.9803417,7481752.51736381,659.0,375.0,75,1,Pyradie_Formation
642892.06518741,7423976.78254511,542.0,331.0,37,1,Boolgeeda_Iron_Formation
577735.40410723,7443745.66835441,537.0,390.0,20,1,Pyradie_Formation
610677.58070654,7472157.82862926,614.0,260.0,10,1,Hardey_Formation
589946.44140173,7445783.61313192,496.0,210.0,35,1,Pyradie_Formation
572799.32734792,7446819.91493619,511.0,380.0,30,1,Hardey_Formation
572863.70835989,7447357.8709565,511.0,380.0,20,1,Hardey_Formation
632415.89486622,7431717.90291792,534.0,97.0,20,1,Beasley_River_Quartzite
570053.17705021,7450378.46531282,521.0,375.0,20,1,Boongal_Formation
559881.96804876,7490671.20867738,581.0,185.0,50,1,Boolgeeda_Iron_Formation
611022.5097545,7432714.59950811,455.0,100.0,21,1,Turee_Creek_Group
611057.88683652,7432518.35633014,455.0,103.0,22,1,Turee_Creek_Group
587167.61122432,7478565.48982203,672.0,355.0,38,1,Pyradie_Formation
588715.22938723,7446855.47781346,525.0,200.0,40,1,Pyradie_Formation
564218.4596150435,7443701.93860024,413.0,26.612497121515325,10,1,Mount_Roe_Basalt
563546.5284553565,7442360.85377196,418.0,206.6124971215153,10,1,Mount_Roe_Basalt
617611.2626956056,7471838.890474739,589.0,19.1400411094254,17,1,Milli_Milli_Inlier_metagranitc_unit
617119.4454018944,7470421.810466551,574.0,199.1400411094254,17,1,Milli_Milli_Inlier_metagranitc_unit
609260.2857021156,7473242.777498282,602.0,0.7306073233804113,18,1,Hardey_Formation
