#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
28,S0002573,Sd_Gvl,544459.7795828,7460861.502993901,796.08,14322,4682,A-FOp-bs,A-FO-od,IntrIgn,-1
29,S0002945,Fe,533919.39206561,7501319.11578674,225.22,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
30,S0002950,Fe,540516.5096417,7504756.938801541,35.58,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
31,S0002952,Fe,586739.77874403,7422353.511482309,1984.16,14314,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
32,S0002953,Fe,541730.46434579,7437962.454632091,5.39,14820,15944,A-HAm-cib,A-FOj-xs-b,Strat,-1
33,S0002954,Fe,543755.21460252,7437372.23632971,136.90,15589,15589,A-HAd-kd,A-HAd-kd,Fault,15506
34,S0002955,Fe,547611.69566528,7436531.11723931,340.89,15646,15646,P_-HAb-cib,P_-HAb-cib,Fault,15504
35,S0002956,Fe,551332.50111981,7435165.92675488,83.60,15646,15944,P_-HAb-cib,A-FOj-xs-b,Fault,3489
36,S0002957,Fe,557427.55064541,7431360.77348364,246.53,15646,16174,P_-HAb-cib,P_-SKq-stq,Strat,-1
37,S0002964,Fe,547550.17656528,7491903.42413095,467.12,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
38,S0002965,Fe,553289.92951077,7485307.764168299,364.39,4684,4686,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
39,S0002973,Fe,631475.51339253,7503848.88951293,610.54,5292,4952,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
40,S0002974,Fe,629256.13873679,7490672.85888879,727.66,5292,4952,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
41,S0002975,Fe,640465.69292661,7480669.29780441,904.79,5292,4952,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
42,S0002982,Fe,560234.54149545,7493753.95111607,173.18,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
43,S0002987,Fe,580536.54269562,7423053.94533255,301.60,14314,14314,P_-HAb-cib,P_-HAb-cib,Fault,5446
44,S0002988,Fe,582041.58550247,7423354.69010212,925.94,14314,14394,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
45,S0002989,Fe,569782.82252808,7428300.883785831,425.15,15789,15504,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
46,S0003121,Gvl,569936.03372812,7496977.019052289,255.26,14369,8421,A-FOj-xs-b,A-FO-od,IntrIgn,-1
47,S0003220,Sd_Gvl,551468.41096673,7481320.28792767,591.34,7580,14311,A-FOp-bs,A-FOu-bbo,Strat,-1
48,S0003235,Fe,558937.67977741,7432227.13426974,19.10,15428,15428,A-HAm-cib,A-HAm-cib,Fault,12591
49,S0003236,Fe,584095.40342212,7483393.0868398,745.02,5293,5293,A-HAm-cib,A-HAm-cib,Fault,6825
50,S0003300,Sd,577237.84121279,7491702.47420767,346.66,5293,5293,A-HAm-cib,A-HAm-cib,Fault,6825
51,S0003311,Fe,632466.74214084,7499533.16490294,75.67,4790,4952,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
52,S0003316,Fe,565542.55384677,7495362.73785934,72.48,3597,4678,A-HAu-xsl-ci,A-HAd-kd,Strat,-1
53,S0003430,Fe,537057.45151089,7502797.39324289,304.89,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
54,S0003431,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
55,S0003432,Fe,521911.91276564,7499805.645154221,48.91,15984,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
56,S0003433,Fe,518292.34304652,7498404.680772689,48.07,15985,15984,A-HAd-kd,A-HAm-cib,Strat,-1
57,S0003443,Fe,588053.08688071,7480470.11183094,197.22,14311,14369,A-FOu-bbo,A-FOj-xs-b,Strat,-1
58,S0003543,Brt,526689.898697,7442688.560685261,300.91,15486,16333,P_-WYd-kd,P_-WYm-sp,Strat,-1
59,S0003729,Fe,602393.07170543,7507043.59796701,976.59,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
60,S0003730,Fe,592450.64563281,7439061.54625266,421.56,14314,14394,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
61,S0003731,Fe,591798.59765236,7423502.265005501,318.11,14314,15676,P_-HAb-cib,A-HAd-kd,Fault,5960
62,S0003976,Agg,592096.99786717,7453515.540862459,160.49,5437,5437,A-FOo-bbo,A-FOo-bbo,Fault,12611
63,S0004070,Sd,524849.77420992,7472765.08913404,271.93,16190,16193,A-FOh-xs-f,A-mgn-PRK,IntrIgn,-1
64,S0006584,Chert,541082.64972427,7481940.50926422,113.33,16192,16190,A-s-PRK,A-FOh-xs-f,Strat,-1
65,S0016705,Fe,616668.39204378,7495792.10341714,237.10,4790,4939,A-HAd-kd,A-HAm-cib,Strat,-1
66,S0018171,Gvl_Sd,556654.98386614,7440000.03208663,332.43,16857,16432,A-FOr-b,A-FOh-xs-f,Strat,-1
67,S0019219,Fe,582273.61788728,7422690.331677581,758.94,14314,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
68,S0019220,Fe,581739.59511644,7422354.28016084,363.40,14314,5842,P_-HAb-cib,P_-WYm-sp,Strat,-1
69,S0019221,Fe,581859.00736739,7421794.73161714,192.10,5842,14314,P_-WYm-sp,P_-HAb-cib,Strat,-1
70,S0019222,Fe,559257.82199488,7431092.317338299,367.29,15646,15946,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
71,S0019223,Fe,569782.82252808,7428300.883785831,425.15,15789,15504,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
72,S0019224,Fe,572132.80837845,7427673.097182871,172.40,15789,15504,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
73,S0019225,Fe,570985.06268805,7427241.3208621,693.35,15789,15504,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
74,S0019226,Fe,572323.6691984501,7426955.862563751,525.73,15789,15789,P_-HAb-cib,P_-HAb-cib,Fault,14081
75,S0019228,Fe,577565.76911793,7481401.982170311,231.23,3597,4684,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
76,S0019229,Fe,576709.70524555,7481162.996446739,129.12,4680,4684,A-HAd-kd,P_-HAb-cib,Strat,-1
77,S0019230,Fe,574436.7217773499,7481935.62459643,422.65,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,2840
78,S0019283,Fe,561526.10099515,7430321.532639351,148.70,15646,15588,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
79,S0019377,Fe,617643.0106579399,7507655.62534599,861.74,5292,4952,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
80,S0019454,Au,525334.6312920999,7445133.0142834,734.60,16333,16333,P_-WYm-sp,P_-WYm-sp,Fault,17128
81,S0019462,Fe,572864.9251636,7494649.20844604,39.04,5293,5293,A-HAm-cib,A-HAm-cib,Fault,6825
82,S0019463,Fe,554007.27442643,7484789.36986056,12.59,4684,7709,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
83,S0020557,Fe,575337.90255361,7485500.32563856,206.73,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,8551
84,S0020558,Fe,576000.39118408,7484666.741929389,113.13,4684,3597,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
85,S0020559,Fe,577278.2258026201,7483443.648735749,309.91,3597,3597,A-HAu-xsl-ci,A-HAu-xsl-ci,Fault,8551
86,S0020560,Fe,577274.55808968,7482721.97533513,231.83,4684,4684,P_-HAb-cib,P_-HAb-cib,Fault,8551
87,S0020561,Fe,578279.16879916,7482499.74081912,178.54,4680,4680,A-HAd-kd,A-HAd-kd,Fault,8551
88,S0020562,Fe,580876.72051875,7482196.090563671,1196.48,4680,4680,A-HAd-kd,A-HAd-kd,Fault,8551
89,S0020563,Fe,580523.74230296,7481070.85725378,41.27,4680,4680,A-HAd-kd,A-HAd-kd,Fault,8551
90,S0020576,Fe,616331.26887888,7494666.58118578,509.64,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
91,S0020577,Fe,617136.18310755,7495145.26275988,28.76,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
92,S0020578,Fe,616001.23589637,7495904.68441866,96.25,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
93,S0020579,Fe,615306.66447829,7495094.95604937,963.58,4939,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
94,S0020580,Fe,614896.89725458,7495896.41403348,734.04,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
95,S0020581,Fe,618385.54520206,7494577.734181929,33.18,4939,4790,A-HAm-cib,A-HAd-kd,Strat,-1
