WKT	geopnt_id	dip	azimuth2
POINT (521993.39933415 7508834.9892679)	25437	60	171.0
POINT (615419.21039717 7480654.38099445)	25447	45	360.0
POINT (565975.78547526 7486034.19862076)	25452	42	365.0
POINT (571965.82833137 7422756.19010211)	25471	65	210.0
POINT (514363.57682758 7462660.37621304)	25491	28	350.0
POINT (542660.06207832 7481786.83007108)	25510	60	388.0
POINT (530058.68229413 7464016.56701922)	25519	30	380.0
POINT (638910.69920282 7422327.03536403)	25524	27	370.0
POINT (572078.87083734 7445926.54585771)	25535	45	380.0
POINT (553113.25097797 7484612.18583151)	25551	64	240.0
POINT (513054.1418105 7462424.6711711)	25575	20	250.0
POINT (625210.70958851 7484871.71325843)	25587	20	355.0
POINT (619940.67451297 7481812.90985963)	25595	35	330.0
POINT (576769.70466314 7471444.52976707)	25606	18	240.0
POINT (584294.2094489899 7469645.30061938)	25612	12	300.0
POINT (613804.54538018 7431833.25068286)	25624	16	387.0
POINT (609730.20164204 7455854.06698703)	25627	25	130.0
POINT (632268.30534165 7424573.70921926)	25640	28	320.0
POINT (534077.03565985 7482256.82978454)	25650	58	368.0
POINT (606497.9803417 7481752.51736381)	25686	75	375.0
POINT (560770.73473289 7497966.2030757)	25702	10	190.0
POINT (642892.06518741 7423976.78254511)	25721	37	331.0
POINT (577735.40410723 7443745.66835441)	25758	20	390.0
POINT (610677.58070654 7472157.82862926)	25770	10	260.0
POINT (589946.4414017299 7445783.61313192)	25785	35	210.0
POINT (572799.32734792 7446819.91493619)	25787	30	380.0
POINT (550039.66471376 7460578.19478138)	25790	15	370.0
POINT (572863.70835989 7447357.8709565)	25797	20	380.0
POINT (587212.2843019 7455380.32765423)	25824	20	240.0
POINT (632415.89486622 7431717.90291792)	25826	20	97.0
POINT (570053.17705021 7450378.46531282)	25832	20	375.0
POINT (559881.96804876 7490671.20867738)	25842	50	185.0
POINT (587136.48929997 7455052.50617613)	25844	40	375.0
POINT (611022.5097545 7432714.59950811)	25852	21	100.0
POINT (589672.0458405101 7454103.4969298)	25857	40	360.0
POINT (611057.88683652 7432518.35633014)	25866	22	103.0
POINT (587167.61122432 7478565.48982203)	25880	38	355.0
POINT (588715.22938723 7446855.47781346)	25885	40	200.0
